neutral,0.917310357,0.781264246,0.992022599,0.928571429,0.615384615,0.333333333,0.272727273,1,0,0.903525332,0.8253656,1,0.764705882,1,0.826152117
neutral,0.405540049,0.734268546,0.980269037,0.75,0.4,0.214285714,0.076923077,1,0,0.791666667,0.668153105,1,0.666666667,1,0.783625731
entailment,0.962114036,0.736533642,0.949603759,0.555555556,0.25,0.142857143,0,0,1,0.44474959,0.483951416,0,0.454545455,0,0.726502311
contradiction,0.208753332,0.636396408,0.924749743,0.5,0.181818182,0.1,0,0,1,0.440958552,0.676123404,0,0.416666667,1,0.736
neutral,0.754699349,0.553408504,0.936408257,0.25,0,0,0,0,0,0.452910814,0.348815788,0,0.222222222,0,0.336650083
neutral,0.735765159,0.458172888,0.904244104,0.3125,0.066666667,0,0,0,0,0.381881308,0.222717702,0.833333333,0.222222222,0,0.433789954
neutral,0.683408022,0.561976075,0.898196537,0.5,0.4,0.25,0,1,0,0.612372436,0.481125224,0.833333333,0.5,1,0.515151515
neutral,0.743854284,0.443045348,0,0,0,0,0,0,0,0,0,0,0,0,0.606741573
neutral,0.597280383,0.375143379,0,0,0,0,0,0,0,0,0,0,0,0,0.588235294
neutral,0.624642432,0.421780229,0.91061954,0.375,0,0,0,0,0,0.612372436,0.200831604,1,0.4,0,0.518867925
neutral,0.310464799,0.271509767,0,0.222222222,0,0,0,0,0,0.166666667,0,0.833333333,0.166666667,0,0.340136054
neutral,0.548668027,0.32058835,0.881703532,0.222222222,0,0,0,0,0,0.392837101,0,0.875,0.25,0,0.378865979
neutral,0.554661632,0.357520342,0.898110746,0.375,0,0,0,0,0,0.471404521,0.233333333,1,0.333333333,1,0.549019608
entailment,0.989457548,0.917561173,0.984761301,0.75,0.454545455,0.2,0,1,0,0.901127114,0.777777778,0.933333333,0.6,0,0.583333333
neutral,0.935701132,0.657370567,0.918142992,0.266666667,0,0,0,0,0,0.574037848,0.272300029,0.882352941,0.294117647,1,0.407239819
neutral,0.879283905,0.616348803,0.910221552,0.4,0.222222222,0.125,0,1,0,0.478364873,0.358974359,1,0.307692308,0,0.530657748
contradiction,0.743713021,0.915524721,0.993993472,1,0.857142857,0.833333333,0.8,1,0,0.953462589,1,1,1,1,1
entailment,0.983446598,0.919017434,0.957205436,0.857142857,0.666666667,0.6,0.5,0,0,0.824957911,0.77594029,0.354166667,0.875,1,0.904255319
neutral,0.58856523,0.886536062,0.95350199,0.857142857,0.5,0.2,0,0,0,0.782623792,0.821583836,0.375,0.875,1,0.918367347
neutral,0.347626269,0.503664255,0,0.333333333,0,0,0,0,0.9,0.4,0.328633535,0.3,0.3,1,0.403738318
